name,run_id,created_at,model_name,task_name,data_split_seed,validation_metric,validation_crps,validation_rmse,test_crps,test_rmse,fitting_time_s,validation_prediction_time_s,test_prediction_time_s,validation_fixed_effect_residual_rmse,best_boosting_round,model.train_params.learning_rate,model.train_params.lambda_l2,model.train_params.min_data_in_leaf,model.train_params.num_leaves,model.train_params.max_bin,model.train_params.max_depth,model.np_params.dropout,model.np_train_params.learning_rate,model.np_train_params.epochs_per_round,model.lgbm_params.learning_rate,model.lgbm_params.lambda_l2,model.lgbm_params.min_data_in_leaf,model.lgbm_params.num_leaves,model.lgbm_params.max_bin,model.lgbm_params.max_depth,epochs_trained,model.params.dropout
npboost-in_context-protein-seed0,jp1mq0gs,2026-07-21T08:40:58Z,npboost,in_context,0,rmse,0.158770092688371,0.2224785468493345,0.1577853292538314,0.222276306776675,387.7780387401581,0.3510348796844482,0.3344540596008301,3.439946164800365,209.0,,,,,,,0.0,0.0001721990923545,5.0,0.1380161223304589,0.0,1000.0,16.0,255.0,-1.0,,
npboost-in_context-protein-seed0,jsvqawl0,2026-07-21T09:34:57Z,npboost,in_context,0,rmse,0.1195059753045803,0.2166837092736845,0.1203080752170044,0.218327932549187,633.7528636455536,0.3494899272918701,0.3495881557464599,3.4303246926933246,219.0,,,,,,,0.2,0.000956484407922,10.0,0.0109977032995056,0.0,100.0,4.0,255.0,-1.0,,
npboost-in_context-protein-seed0,mrezalfd,2026-07-21T10:29:28Z,npboost,in_context,0,rmse,0.1635532445608531,0.2874670460651303,0.1635351181030273,0.287592744108167,198.575519323349,0.3412191867828369,0.3342709541320801,3.4430987093134187,95.0,,,,,,,0.2,0.0008392140711648,5.0,0.0107859712708854,0.0,10.0,8.0,255.0,-1.0,,
npboost-in_context-protein-seed0,r41u7lzp,2026-07-21T09:16:57Z,npboost,in_context,0,rmse,0.1213430876515883,0.2191606973031431,0.1228467595701849,0.2215138160450966,614.9458684921265,0.3451864719390869,0.340172529220581,3.439946164800365,109.0,,,,,,,0.2,0.0002563473332261,20.0,0.1427109105814198,1.0,1000.0,8.0,255.0,-1.0,,
npboost-in_context-protein-seed0,rf9jjjob,2026-07-21T11:13:06Z,npboost,in_context,0,rmse,0.3454457924341075,0.3186313070632037,0.3439368802911313,0.309723809313337,64.02711725234985,0.3575940132141113,0.3430590629577636,3.272937521777106,11.0,,,,,,,0.2,1.5820851730418417e-05,5.0,0.0450196136386975,1.0,100.0,16.0,255.0,-1.0,,
npboost-in_context-protein-seed0,rq6qesbh,2026-07-21T11:31:36Z,npboost,in_context,0,rmse,0.2529330569277241,0.2927587259502959,0.2517198835100446,0.2884472831421681,336.270991563797,0.3454020023345947,0.3448281288146972,3.439946164800365,48.0,,,,,,,0.2,2.017016316297149e-05,20.0,0.0582929613195039,1.0,1000.0,8.0,255.0,-1.0,,
npboost-in_context-protein-seed0,tuf4xetv,2026-07-21T08:17:52Z,npboost,in_context,0,rmse,0.1453613121750462,0.2366818594870973,0.1409256001382754,0.2257096037613249,528.8669984340668,0.2961809635162353,0.287266731262207,3.541574336868672,178.0,,,,,,,0.2,0.0001381635682257,10.0,0.0261669745608544,1.0,20.0,8.0,255.0,-1.0,,
npboost-in_context-protein-seed0,u8pi4nqf,2026-07-21T10:41:18Z,npboost,in_context,0,rmse,0.2596097540772335,0.2591437058353104,0.2583048750714558,0.2560474037493724,148.97781705856323,0.3115284442901611,0.2952282428741455,2.3739910809819507,31.0,,,,,,,0.0,1.8406671834517417e-05,10.0,0.3476654204795515,0.0,20.0,8.0,255.0,-1.0,,
npboost-in_context-protein-seed0,vyjdlqdh,2026-07-21T08:38:37Z,npboost,in_context,0,rmse,0.1906729508775452,0.2592549876409533,0.1874452916587271,0.2515146752070544,134.61346316337583,0.3298890590667724,0.3188786506652832,3.585619797001076,28.0,,,,,,,0.0,0.0004242243954166,10.0,0.5800570688908553,1.0,20.0,4.0,255.0,-1.0,,
npboost-in_context-protein-seed0,w5njbhhc,2026-07-21T08:29:13Z,npboost,in_context,0,rmse,0.1226240483725943,0.2222816324675785,0.1175456562108694,0.2137108574693968,558.0777802467346,0.346198558807373,0.3367385864257812,3.4603318148041864,203.0,,,,,,,0.0,0.0004548624208721,10.0,0.2953847324956156,0.0,20.0,4.0,255.0,-1.0,,
npboost-in_context-protein-seed0,xcushso9,2026-07-21T08:47:32Z,npboost,in_context,0,rmse,0.1954749569244916,0.2186325610152051,0.1950855653875796,0.220302072096493,1295.0143148899078,0.3543758392333984,0.3338449001312256,3.3682060283905244,270.0,,,,,,,0.0,1.5865500409725956e-05,20.0,0.019901994840577,0.0,100.0,4.0,255.0,-1.0,,
npboost-in_context-protein-seed0,xx3cti6b,2026-07-21T09:27:19Z,npboost,in_context,0,rmse,0.1311737286504552,0.2309365260409817,0.1286868949385055,0.224624717108463,451.2200720310211,0.3124547004699707,0.3012309074401855,3.46837784719328,258.0,,,,,,,0.2,0.0003013710908533,5.0,0.0130634630331783,0.0,10.0,8.0,255.0,-1.0,,
npboost-in_context-protein-seed1,1mogcrqm,2026-07-21T16:22:14Z,npboost,in_context,1,rmse,0.2497098105294364,0.2618360590501837,0.2554109486968675,0.2787124877570411,109.81458163261414,0.32863450050354,0.3410131931304931,3.382248695514286,19.0,,,,,,,0.0,7.917412954846521e-05,10.0,0.1011064623519062,0.0,20.0,8.0,255.0,-1.0,,
npboost-in_context-protein-seed1,1vr9mcsl,2026-07-21T15:34:27Z,npboost,in_context,1,rmse,0.2535375402364166,0.2697531139060879,0.2604902978558158,0.2899248678480406,315.56962299346924,0.3500628471374511,0.3384950160980224,2.8350123970037875,49.0,,,,,,,0.0,1.2904721633073898e-05,20.0,0.2325748079967941,0.0,100.0,8.0,255.0,-1.0,,
npboost-in_context-protein-seed1,2z4i0d89,2026-07-21T16:10:57Z,npboost,in_context,1,rmse,0.3430924897409897,0.3268844842445619,0.3473357755548032,0.3369285346415697,55.90893149375916,0.273068904876709,0.3124735355377197,3.2354387380256893,11.0,,,,,,,0.2,1.5820851730418417e-05,5.0,0.0450196136386975,1.0,100.0,16.0,255.0,-1.0,,
npboost-in_context-protein-seed1,3bmn4yx7,2026-07-21T16:11:59Z,npboost,in_context,1,rmse,0.2434536339098568,0.2632120308594342,0.2494040033958514,0.2806100788546622,410.38718008995056,0.3078749179840088,0.2963659763336181,3.292281044089732,67.0,,,,,,,0.0,1.702035422361917e-05,20.0,0.0657821692431908,1.0,20.0,16.0,255.0,-1.0,,
npboost-in_context-protein-seed1,8ppai5b4,2026-07-21T14:54:51Z,npboost,in_context,1,rmse,0.1424893103410142,0.2489783519508361,0.1500707353864397,0.2611168191003024,416.370106458664,0.3345947265625,0.3315846920013428,3.475947011560999,242.0,,,,,,,0.2,0.0003013710908533,5.0,0.0130634630331783,0.0,10.0,8.0,255.0,-1.0,,
npboost-in_context-protein-seed1,9ok5xd3i,2026-07-21T14:41:08Z,npboost,in_context,1,rmse,0.128773752405253,0.2264336800397458,0.1333214098568162,0.2410725486089511,816.9164052009583,0.2894854545593261,0.2916173934936523,3.449714677895118,157.0,,,,,,,0.2,0.0002563473332261,20.0,0.1427109105814198,1.0,1000.0,8.0,255.0,-1.0,,
npboost-in_context-protein-seed1,b2m1jlv8,2026-07-21T14:05:50Z,npboost,in_context,1,rmse,0.1707755896272559,0.2336503703777091,0.1755354545673011,0.2466820554315806,301.1574091911316,0.2582335472106933,0.2489125728607177,3.449714677895118,178.0,,,,,,,0.0,0.0001721990923545,5.0,0.1380161223304589,0.0,1000.0,16.0,255.0,-1.0,,
npboost-in_context-protein-seed1,bad6aapu,2026-07-21T16:01:44Z,npboost,in_context,1,rmse,0.1348558219883084,0.2404025783948935,0.142243986761113,0.254248706611924,546.8461582660675,0.3443474769592285,0.3393120765686035,3.458857357828202,188.0,,,,,,,0.2,0.0004276097878757,10.0,0.0133482983182945,0.0,100.0,4.0,255.0,-1.0,,
npboost-in_context-protein-seed1,cbmyo3yw,2026-07-21T14:34:20Z,npboost,in_context,1,rmse,0.134936249629961,0.2309673404200641,0.1402698510199889,0.2414186071849473,379.6277625560761,0.3539776802062988,0.3460612297058105,3.453500609893746,130.0,,,,,,,0.0,0.0002780425090632,10.0,0.0105542692281163,1.0,20.0,8.0,255.0,-1.0,,
npboost-in_context-protein-seed1,cks7vtaj,2026-07-21T16:34:16Z,npboost,in_context,1,rmse,0.2551792623274002,0.2604632612984849,0.260476547666543,0.2761472010179456,130.7177894115448,0.3436508178710937,0.3204944133758545,2.9138851812643143,59.0,,,,,,,0.0,3.1392574253118284e-05,5.0,0.1121865737283773,0.0,10.0,4.0,255.0,-1.0,,
