name,run_id,created_at,model_name,task_name,data_split_seed,validation_metric,validation_crps,validation_rmse,test_crps,test_rmse,fitting_time_s,validation_prediction_time_s,test_prediction_time_s,validation_fixed_effect_residual_rmse,best_boosting_round,model.np_params.dropout,model.np_train_params.learning_rate,model.np_train_params.epochs_per_round,model.lgbm_params.learning_rate,model.lgbm_params.lambda_l2,model.lgbm_params.min_data_in_leaf,model.lgbm_params.num_leaves,model.lgbm_params.max_bin,model.lgbm_params.max_depth,epochs_trained,model.params.dropout,model.train_params.learning_rate,model.train_params.lambda_l2,model.train_params.min_data_in_leaf,model.train_params.num_leaves,model.train_params.max_bin,model.train_params.max_depth
npboost-in_context-log_count-seed1,2kjk8eni,2026-07-20T08:56:10Z,npboost,in_context,1,rmse,0.1812168189055076,0.319429289519369,0.179067180884583,0.3124904222989608,1423.1041917800903,0.8341507911682129,0.7624883651733398,6.81193746296733,497.0,0.2,1.343677338411072e-05,5.0,0.1113002415673063,1.0,10.0,4.0,255.0,-1.0,,,,,,,,
npboost-in_context-log_count-seed1,6iu33jxf,2026-07-20T13:48:46Z,npboost,in_context,1,rmse,0.1168006282785664,0.2674211398953943,0.120408068532529,0.2725472799940572,546.3291053771973,0.8842117786407471,0.8952529430389404,6.013448916575664,104.0,0.0,7.917412954846521e-05,10.0,0.1011064623519062,0.0,20.0,8.0,255.0,-1.0,,,,,,,,
npboost-in_context-log_count-seed1,89yggyub,2026-07-20T12:30:27Z,npboost,in_context,1,rmse,0.1227475516286824,0.2778108767109452,0.1244733849635421,0.2850429942925557,834.8255677223206,0.6914882659912109,0.7022764682769775,6.101257132131191,267.0,0.2,0.0001181285816262,5.0,0.0610030224551816,0.0,10.0,8.0,255.0,-1.0,,,,,,,,
npboost-in_context-log_count-seed1,a3fwj966,2026-07-20T14:54:19Z,npboost,in_context,1,rmse,0.1641932408728536,0.2607680333034884,0.1681349951287974,0.2753010777243388,522.2432081699371,0.5027883052825928,0.4974532127380371,5.070997564005699,198.0,0.0,3.1392574253118284e-05,5.0,0.1121865737283773,0.0,10.0,4.0,255.0,-1.0,,,,,,,,
npboost-in_context-log_count-seed1,aa4ja96k,2026-07-20T13:01:36Z,npboost,in_context,1,rmse,0.1724186033742865,0.2990813884907409,0.1727604688565988,0.3035730600207004,1287.3533186912537,0.7274260520935059,0.771500825881958,6.012510526138494,424.0,0.2,1.5820851730418417e-05,5.0,0.0450196136386975,1.0,100.0,16.0,255.0,-1.0,,,,,,,,
npboost-in_context-log_count-seed1,axtpna93,2026-07-20T10:03:22Z,npboost,in_context,1,rmse,0.1164857667988775,0.2729311547880744,0.125044838354583,0.2900945336114036,340.84980630874634,0.8450593948364258,0.7966694831848145,6.206925111695657,56.0,0.0,0.0002780425090632,10.0,0.0105542692281163,1.0,20.0,8.0,255.0,-1.0,,,,,,,,
npboost-in_context-log_count-seed1,b1hkjxve,2026-07-20T08:51:04Z,npboost,in_context,1,rmse,0.1501934719333576,0.3225049583986505,0.1536284888511794,0.3400115494805217,298.70951628685,0.8267889022827148,0.8355531692504883,6.207816513028898,45.0,0.2,0.0004385170256085,10.0,0.8972612866432508,1.0,20.0,8.0,255.0,-1.0,,,,,,,,
npboost-in_context-log_count-seed1,cbil5zr4,2026-07-20T11:03:56Z,npboost,in_context,1,rmse,0.1096958876895544,0.2610736131959855,0.1187789022697167,0.2922121852629854,740.3706285953522,0.8325226306915283,0.8235454559326172,6.181302216624573,237.0,0.2,0.0008392140711648,5.0,0.0107859712708854,0.0,10.0,8.0,255.0,-1.0,,,,,,,,
npboost-in_context-log_count-seed1,ce5n6a67,2026-07-20T08:34:45Z,npboost,in_context,1,rmse,0.1147375798067659,0.2664808122179068,0.1173695527679077,0.2831369164406676,970.4007906913756,0.7742938995361328,0.7569911479949951,6.179505093350309,202.0,0.2,0.0001381635682257,10.0,0.0261669745608544,1.0,20.0,8.0,255.0,-1.0,,,,,,,,
npboost-in_context-log_count-seed1,d0ecotud,2026-07-20T13:34:17Z,npboost,in_context,1,rmse,0.1341586226777003,0.2849696967286074,0.1408538963709076,0.3138507561450052,448.60086131095886,0.9009315967559814,0.8755736351013184,6.194007545418066,78.0,0.2,0.0001082971516786,10.0,0.2589103504433043,0.0,20.0,16.0,255.0,-1.0,,,,,,,,
npboost-in_context-log_count-seed1,exj5jdxh,2026-07-20T09:20:02Z,npboost,in_context,1,rmse,0.1165697295183495,0.2774859969088981,0.1203456984125148,0.275348026976243,467.9367163181305,0.8231849670410156,0.738029956817627,6.264145495697103,87.0,0.0,0.0004548624208721,10.0,0.2953847324956156,0.0,20.0,4.0,255.0,-1.0,,,,,,,,
