name,run_id,model_name,task_name,data_split_seed,validation_metric,validation_crps,validation_rmse,test_crps,test_rmse,fitting_time_s,validation_prediction_time_s,test_prediction_time_s,validation_rmse_best,validation_rmse_best_epoch,validation_rmse_best_restored,model.params.dropout,model.train_params.learning_rate,validation_fixed_effect_residual_rmse,test_fixed_effect_residual_rmse,model.np_params.dropout,model.np_train_params.learning_rate,model.np_train_params.epochs_per_round,model.lgbm_params.learning_rate,model.lgbm_params.lambda_l2,model.lgbm_params.min_data_in_leaf,model.lgbm_params.num_leaves,model.lgbm_params.max_bin,model.lgbm_params.max_depth,model.train_params.lambda_l2,model.train_params.min_data_in_leaf,model.train_params.num_leaves,model.train_params.max_bin,model.train_params.max_depth
npboost-in_context-log_price-seed1,q88rn4w4,npboost,in_context,1,rmse,0.1366963163808011,0.2878389202409877,0.1285153796941635,0.2757645678113374,5055.584576606751,7.415032625198364,9.135901927947998,0.2745782875885843,,,,,9.59608487976232,9.592517912671193,0.0,0.0002780425090632,10.0,0.0105542692281163,1.0,20.0,8.0,255.0,-1.0,,,,,
npboost-in_context-log_price-seed1,qbtnxueq,npboost,in_context,1,rmse,0.1300124385095928,0.2775538427432957,0.1219911176894407,0.2695684282665834,11206.832149982452,9.021819829940796,9.22117567062378,0.2649110054064445,,,,,9.57116725527176,9.569397288543229,0.2,0.0004276097878757,10.0,0.0133482983182945,0.0,100.0,4.0,255.0,-1.0,,,,,
npboost-in_context-log_price-seed1,rt1rh51b,npboost,in_context,1,rmse,0.2550527850392656,0.3721856254108745,0.2606616117240525,0.3527206839605087,2526.139089345932,10.1479012966156,10.762587785720823,0.3524034055329289,,,,,9.233506521792256,7.3535908300728385,0.2,1.090384328196852e-05,5.0,0.7717846862118062,0.0,20.0,4.0,255.0,-1.0,,,,,
npboost-in_context-log_price-seed1,texkrj76,npboost,in_context,1,rmse,0.1253210142162758,0.269555496550673,0.1246015191395789,0.2684084984547148,7044.604281663895,11.40278697013855,10.530035734176636,0.2676181353393805,,,,,9.58722508736255,9.586721899930746,0.2,0.0008392140711648,5.0,0.0107859712708854,0.0,10.0,8.0,255.0,-1.0,,,,,
npboost-in_context-log_price-seed1,tuh4m633,npboost,in_context,1,rmse,0.1282682133926487,0.2628364283710095,0.127562394198103,0.2648889078794234,12233.202449798584,10.460731029510498,10.522600889205933,0.2585908362662454,,,,,7.9536952794193505,7.94025697319556,0.0,3.1392574253118284e-05,5.0,0.1121865737283773,0.0,10.0,4.0,255.0,-1.0,,,,,
npboost-in_context-log_price-seed1,vp3stqz2,npboost,in_context,1,rmse,0.190527451118775,0.3484716629452726,0.1339887267006179,0.2777151418814914,3231.916803359986,10.262258529663086,10.288663625717165,0.2754992870277825,,,,,9.347741830168443,9.372249569563255,0.0,0.0001721990923545,5.0,0.1380161223304589,0.0,1000.0,16.0,255.0,-1.0,,,,,
npboost-in_context-log_price-seed1,vpodh8r8,npboost,in_context,1,rmse,0.1570839256962156,0.2922288301872465,0.149723743109819,0.2753437183542441,4070.097713947296,11.799376010894775,10.76450538635254,0.2747288134515809,,,,,9.437759214282009,9.471633996935877,0.2,0.0001181285816262,5.0,0.0610030224551816,0.0,10.0,8.0,255.0,-1.0,,,,,
npboost-in_context-log_price-seed1,w0isz3tu,npboost,in_context,1,rmse,0.128459414727063,0.2572548530482565,0.1287257084263458,0.2610921415181279,6654.1355748176575,8.039543628692627,7.46492075920105,0.2564428891845615,,,,,5.238220873564509,5.262481184973061,0.0,3.9184339457363744e-05,5.0,0.7978205565731539,1.0,100.0,16.0,255.0,-1.0,,,,,
npboost-in_context-log_price-seed1,xhsqmyh4,npboost,in_context,1,rmse,0.1246937939412644,0.2590219805585821,0.1228468070514861,0.256937731010421,14684.408076763151,8.8201904296875,8.487825393676758,0.2523700558200039,,,,,9.093912910768571,9.09328007206316,0.0,1.702035422361917e-05,20.0,0.0657821692431908,1.0,20.0,16.0,255.0,-1.0,,,,,
npboost-in_context-log_price-seed1,zfauiesg,npboost,in_context,1,rmse,0.1313783744586905,0.2745433377944769,0.1287241224650386,0.2650089127464476,3963.210656642914,7.004679203033447,7.259403705596924,0.2618018414528607,,,,,9.52047132038328,9.499980111196612,0.0,7.917412954846521e-05,10.0,0.1011064623519062,0.0,20.0,8.0,255.0,-1.0,,,,,
npboost-in_context-log_price-seed2,4ir8f6t2,npboost,in_context,2,rmse,0.1224717519483452,0.2500866756912877,0.1248841805898929,0.2655025788113194,7685.579806089401,5.13591742515564,4.925071477890015,0.2493262898061087,,,,,6.5396486428342095,6.514128280601042,0.0,1.8406671834517417e-05,10.0,0.3476654204795515,0.0,20.0,8.0,255.0,-1.0,,,,,
npboost-in_context-log_price-seed2,54jsz4mz,npboost,in_context,2,rmse,0.160702054607754,0.2980629045702222,0.1481700650378356,0.2819596250272023,2856.421515226364,4.17563009262085,4.628544569015503,0.2681138086969227,,,,,9.616622872761486,9.737259298140607,0.2,0.0001082971516786,10.0,0.2589103504433043,0.0,20.0,16.0,255.0,-1.0,,,,,
npboost-in_context-log_price-seed2,5x190uh4,npboost,in_context,2,rmse,0.1173467083749273,0.2535732738760352,0.1201134571500135,0.2723029407772109,9901.477984428406,7.381048679351807,7.419803619384766,0.2528561677514825,,,,,9.54742957086386,9.539730385293751,0.2,0.0002371245680478,10.0,0.0322020325894309,1.0,100.0,16.0,255.0,-1.0,,,,,
npboost-in_context-log_price-seed2,5xq5r7ip,npboost,in_context,2,rmse,0.2514529194422883,0.3670350960024739,0.259612504887639,0.3585001074163029,2587.3967871665955,9.957497835159302,9.859889268875122,0.3456172343531565,,,,,9.083878461600436,7.334573289948174,0.2,1.090384328196852e-05,5.0,0.7717846862118062,0.0,20.0,4.0,255.0,-1.0,,,,,
npboost-in_context-log_price-seed2,64mekarn,npboost,in_context,2,rmse,0.1215437569928259,0.2589516793923463,0.1227785822391158,0.2714852214280256,13286.144785881042,7.903987169265747,8.089962482452393,0.2563575551227268,,,,,9.525570996841312,9.525314416961416,0.2,0.0001381635682257,10.0,0.0261669745608544,1.0,20.0,8.0,255.0,-1.0,,,,,
